Vehicle ID: 221165, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 57755, Year: 2018, Miles: 174845, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221165_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221167, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 54646, Year: 2018, Miles: 248382, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221167_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221168, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: M2 106, Price: 53812, Year: 2018, Miles: 246532, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221168_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221174, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 44506, Year: 2018, Miles: 382793, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221174_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221175, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 47088, Year: 2018, Miles: 370345, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221175_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221179, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 53314, Year: 2018, Miles: 324363, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221179_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221182, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 38141, Year: 2018, Miles: 430078, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221182_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221184, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 50002, Year: 2018, Miles: 354154, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221184_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221194, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 36500, Year: 2018, Miles: 507571, Gross Weight: 54000, Rear Axle Type: TANDEM AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221194_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221201, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 44250, Year: 2018, Miles: 240268, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221201_2018_FRTL_M2_106_FL-1.jpg
